ensembl_gene_id	gene_id	symbol	type
ENSG00000121410	1	A1BG	protein-coding
ENSG00000175899	2	A2M	protein-coding
ENSG00000256069	3	A2MP1	pseudo
ENSG00000171428	9	NAT1	protein-coding
ENSG00000156006	10	NAT2	protein-coding
NA	11	NATP	pseudo
ENSG00000196136	12	SERPINA3	protein-coding
ENSG00000114771	13	AADAC	protein-coding
ENSG00000127837	14	AAMP	protein-coding
ENSG00000129673	15	AANAT	protein-coding
ENSG00000090861	16	AARS	protein-coding
NA	17	AAVS1	other
ENSG00000183044	18	ABAT	protein-coding
ENSG00000165029	19	ABCA1	protein-coding
ENSG00000107331	20	ABCA2	protein-coding
ENSG00000167972	21	ABCA3	protein-coding
ENSG00000131269	22	ABCB7	protein-coding
ENSG00000204574	23	ABCF1	protein-coding
ENSG00000198691	24	ABCA4	protein-coding
ENSG00000097007	25	ABL1	protein-coding
ENSG00000002726	26	AOC1	protein-coding
ENSG00000143322	27	ABL2	protein-coding
ENSG00000175164	28	ABO	protein-coding
ENSG00000159842	29	ABR	protein-coding
ENSG00000060971	30	ACAA1	protein-coding
ENSG00000278540	31	ACACA	protein-coding
ENSG00000076555	32	ACACB	protein-coding
ENSG00000115361	33	ACADL	protein-coding
ENSG00000117054	34	ACADM	protein-coding
ENSG00000122971	35	ACADS	protein-coding
ENSG00000196177	36	ACADSB	protein-coding
ENSG00000072778	37	ACADVL	protein-coding
ENSG00000075239	38	ACAT1	protein-coding
ENSG00000120437	39	ACAT2	protein-coding
ENSG00000108684	40	ASIC2	protein-coding
ENSG00000110881	41	ASIC1	protein-coding
ENSG00000087085	43	ACHE	protein-coding
NA	46	ACLS	unknown
ENSG00000131473	47	ACLY	protein-coding
ENSG00000122729	48	ACO1	protein-coding
ENSG00000100312	49	ACR	protein-coding
ENSG00000100412	50	ACO2	protein-coding
ENSG00000161533	51	ACOX1	protein-coding
ENSG00000143727	52	ACP1	protein-coding
ENSG00000134575	53	ACP2	protein-coding
ENSG00000102575	54	ACP5	protein-coding
ENSG00000014257	55	ACPP	protein-coding
ENSG00000134940	56	ACRV1	protein-coding
ENSG00000143632	58	ACTA1	protein-coding
ENSG00000107796	59	ACTA2	protein-coding
ENSG00000075624	60	ACTB	protein-coding
NA	62	ACTBP2	pseudo
NA	63	ACTBP3	pseudo
NA	64	ACTBP4	pseudo
NA	66	ACTBP6	pseudo
NA	67	ACTBP7	pseudo
NA	68	ACTBP8	pseudo
NA	69	ACTBP9	pseudo
ENSG00000159251	70	ACTC1	protein-coding
ENSG00000184009	71	ACTG1	protein-coding
ENSG00000163017	72	ACTG2	protein-coding
NA	73	ACTG1P1	pseudo
NA	74	ACTG1P2	pseudo
NA	75	ACTG1P3	pseudo
NA	78	ACTG1P6	pseudo
NA	79	ACTG1P7	pseudo
NA	80	ACTG1P8	pseudo
ENSG00000130402	81	ACTN4	protein-coding
NA	82	ACTG1P9	pseudo
NA	83	ACTG1P10	pseudo
ENSG00000136518	86	ACTL6A	protein-coding
ENSG00000072110	87	ACTN1	protein-coding
ENSG00000077522	88	ACTN2	protein-coding
ENSG00000248746	89	ACTN3	protein-coding
ENSG00000115170	90	ACVR1	protein-coding
ENSG00000135503	91	ACVR1B	protein-coding
ENSG00000121989	92	ACVR2A	protein-coding
ENSG00000114739	93	ACVR2B	protein-coding
ENSG00000139567	94	ACVRL1	protein-coding
ENSG00000243989	95	ACY1	protein-coding
ENSG00000119640	97	ACYP1	protein-coding
ENSG00000170634	98	ACYP2	protein-coding
ENSG00000196839	100	ADA	protein-coding
ENSG00000151651	101	ADAM8	protein-coding
ENSG00000137845	102	ADAM10	protein-coding
ENSG00000160710	103	ADAR	protein-coding
ENSG00000197381	104	ADARB1	protein-coding
ENSG00000185736	105	ADARB2	protein-coding
NA	106	ADCP1	unknown
ENSG00000164742	107	ADCY1	protein-coding
ENSG00000078295	108	ADCY2	protein-coding
ENSG00000138031	109	ADCY3	protein-coding
ENSG00000173175	111	ADCY5	protein-coding
ENSG00000174233	112	ADCY6	protein-coding
ENSG00000121281	113	ADCY7	protein-coding
ENSG00000155897	114	ADCY8	protein-coding
ENSG00000162104	115	ADCY9	protein-coding
ENSG00000141433	116	ADCYAP1	protein-coding
ENSG00000078549	117	ADCYAP1R1	protein-coding
ENSG00000087274	118	ADD1	protein-coding
ENSG00000075340	119	ADD2	protein-coding
ENSG00000148700	120	ADD3	protein-coding
NA	122	ADFN	unknown
ENSG00000147872	123	PLIN2	protein-coding
ENSG00000187758	124	ADH1A	protein-coding
ENSG00000196616	125	ADH1B	protein-coding
ENSG00000248144	126	ADH1C	protein-coding
ENSG00000198099	127	ADH4	protein-coding
ENSG00000197894	128	ADH5	protein-coding
ENSG00000172955	130	ADH6	protein-coding
ENSG00000196344	131	ADH7	protein-coding
ENSG00000156110	132	ADK	protein-coding
ENSG00000148926	133	ADM	protein-coding
ENSG00000163485	134	ADORA1	protein-coding
ENSG00000128271	135	ADORA2A	protein-coding
ENSG00000170425	136	ADORA2B	protein-coding
NA	137	ADORA2BP1	pseudo
ENSG00000282608	140	ADORA3	protein-coding
ENSG00000144843	141	ADPRH	protein-coding
ENSG00000143799	142	PARP1	protein-coding
ENSG00000102699	143	PARP4	protein-coding
NA	144	PARP1P1	pseudo
NA	145	PARP1P2	pseudo
ENSG00000171873	146	ADRA1D	protein-coding
ENSG00000170214	147	ADRA1B	protein-coding
ENSG00000120907	148	ADRA1A	protein-coding
ENSG00000150594	150	ADRA2A	protein-coding
ENSG00000274286	151	ADRA2B	protein-coding
ENSG00000184160	152	ADRA2C	protein-coding
ENSG00000043591	153	ADRB1	protein-coding
ENSG00000169252	154	ADRB2	protein-coding
ENSG00000188778	155	ADRB3	protein-coding
ENSG00000173020	156	GRK2	protein-coding
ENSG00000100077	157	GRK3	protein-coding
ENSG00000239900	158	ADSL	protein-coding
ENSG00000035687	159	ADSS	protein-coding
ENSG00000196961	160	AP2A1	protein-coding
ENSG00000183020	161	AP2A2	protein-coding
ENSG00000100280	162	AP1B1	protein-coding
ENSG00000006125	163	AP2B1	protein-coding
ENSG00000166747	164	AP1G1	protein-coding
ENSG00000106624	165	AEBP1	protein-coding
ENSG00000104964	166	AES	protein-coding
ENSG00000124812	167	CRISP1	protein-coding
NA	169	AF8T	unknown
NA	170	AFA	unknown
NA	171	AFD1	unknown
ENSG00000223959	172	AFG3L1P	pseudo
ENSG00000079557	173	AFM	protein-coding
ENSG00000081051	174	AFP	protein-coding
ENSG00000038002	175	AGA	protein-coding
ENSG00000157766	176	ACAN	protein-coding
ENSG00000204305	177	AGER	protein-coding
ENSG00000162688	178	AGL	protein-coding
NA	179	AGMX2	unknown
ENSG00000159723	181	AGRP	protein-coding
ENSG00000101384	182	JAG1	protein-coding
ENSG00000135744	183	AGT	protein-coding
ENSG00000144891	185	AGTR1	protein-coding
ENSG00000180772	186	AGTR2	protein-coding
ENSG00000134817	187	APLNR	protein-coding
ENSG00000172482	189	AGXT	protein-coding
ENSG00000169297	190	NR0B1	protein-coding
ENSG00000101444	191	AHCY	protein-coding
NA	192	AIC	unknown
ENSG00000106546	196	AHR	protein-coding
ENSG00000145192	197	AHSG	protein-coding
ENSG00000204472	199	AIF1	protein-coding
