ensembl_gene_id	gene_id	symbol	type
NA	24152	Asip	protein-coding
ENSRNOG00000028896	24153	A2m	protein-coding
ENSRNOG00000032908	24157	Acaa1a	protein-coding
ENSRNOG00000009845	24158	Acadm	protein-coding
ENSRNOG00000016924	24159	Acly	protein-coding
ENSRNOG00000005260	24161	Acp1	protein-coding
ENSRNOG00000013594	24162	Acp2	protein-coding
ENSRNOG00000029762	24163	Acr	protein-coding
ENSRNOG00000010265	24165	Ada	protein-coding
ENSRNOG00000049882	24166	Adcyap1	protein-coding
ENSRNOG00000012098	24167	Adcyap1r1	protein-coding
ENSRNOG00000013039	24170	Add1	protein-coding
ENSRNOG00000015903	24171	Add2	protein-coding
ENSRNOG00000012436	24172	Adh1	protein-coding
NA	24173	Adra1b	protein-coding
ENSRNOG00000013887	24174	Adra2b	protein-coding
ENSRNOG00000009299	24175	Adra2c	protein-coding
ENSRNOG00000019217	24176	Adrb2	protein-coding
ENSRNOG00000002889	24177	Afp	protein-coding
ENSRNOG00000018445	24179	Agt	protein-coding
ENSRNOG00000018346	24180	Agtr1a	protein-coding
ENSRNOG00000050006	24182	Agtr2	protein-coding
NA	24183	Ak1	protein-coding
ENSRNOG00000000122	24184	Ak2	protein-coding
ENSRNOG00000028629	24185	Akt1	protein-coding
ENSRNOG00000002911	24186	Alb	protein-coding
ENSRNOG00000017619	24188	Aldh1a1	protein-coding
ENSRNOG00000052802	24189	Aldoa	protein-coding
ENSRNOG00000006807	24190	Aldob	protein-coding
ENSRNOG00000011452	24191	Aldoc	protein-coding
ENSRNOG00000009513	24192	Akr1b1	protein-coding
ENSRNOG00000030020	24197	Alpi	protein-coding
ENSRNOG00000033529	24203	Amy1a	protein-coding
ENSRNOG00000020423	24205	Apc	protein-coding
ENSRNOG00000029572	24206	Apeh	protein-coding
ENSRNOG00000047503	24207	Apoc3	protein-coding
ENSRNOG00000005639	24208	Ar	protein-coding
ENSRNOG00000020434	24209	Ascl2	protein-coding
ENSRNOG00000018693	24210	Asgr1	protein-coding
ENSRNOG00000030019	24211	Atp1a1	protein-coding
ENSRNOG00000007290	24212	Atp1a2	protein-coding
ENSRNOG00000020263	24213	Atp1a3	protein-coding
ENSRNOG00000011227	24214	Atp1b2	protein-coding
ENSRNOG00000030269	24215	Atp2b2	protein-coding
ENSRNOG00000020985	24216	Atp4a	protein-coding
ENSRNOG00000018543	24217	Atp4b	protein-coding
ENSRNOG00000012878	24218	Atp7b	protein-coding
ENSRNOG00000021229	24221	Avp	protein-coding
ENSRNOG00000017123	24223	B2m	protein-coding
ENSRNOG00000002791	24224	Bcl2	protein-coding
ENSRNOG00000047466	24225	Bdnf	protein-coding
ENSRNOG00000010549	24230	Tspo	protein-coding
ENSRNOG00000051235	24231	C2	protein-coding
ENSRNOG00000046834	24232	C3	protein-coding
ENSRNOG00000047657	24233	C4a	protein-coding
ENSRNOG00000004062	24235	C4bpa	protein-coding
ENSRNOG00000004125	24236	C4bpb	protein-coding
ENSRNOG00000024115	24237	C6	protein-coding
ENSRNOG00000007090	24239	Cacna1c	protein-coding
