geo_accession	strain_cov1	strain_cov2
GSM2056141	0	1
GSM2056142	0	1
GSM2056143	0	1
GSM2056144	0	1
GSM2056145	0	1
GSM2056146	0	1
GSM2056147	0	1
GSM2056148	0	1
GSM2056149	0	1
GSM2056150	0	1
GSM2056151	0	1
GSM2056152	0	1
GSM2056153	0	1
GSM2056154	0	1
GSM2056155	0	1
GSM2056156	0	1
GSM2056157	0	1
GSM2056158	0	1
GSM2056159	0	1
GSM2056160	0	1
GSM2056161	0	1
GSM2056162	0	1
GSM2056163	0	1
GSM2056164	0	1
GSM2056165	0	1
GSM2056166	0	1
GSM2056167	0	0
GSM2056168	0	1
GSM2056169	0	1
GSM2056170	0	1
GSM2056171	1	0
GSM2056172	1	0
GSM2056173	0	1
GSM2056174	0	1
GSM2056175	0	1
GSM2056176	0	1
GSM2056177	0	1
GSM2056178	0	1
GSM2056179	0	1
GSM2056180	0	1
GSM2056181	0	1
GSM2056182	0	1
GSM2056183	0	1
GSM2056184	0	1
GSM2056185	0	0
GSM2056186	0	1
GSM2056187	0	1
GSM2056188	0	1
GSM2056189	0	1
GSM2056190	0	1
GSM2056191	0	1
GSM2056192	0	1
GSM2056193	0	1
GSM2056194	0	1
GSM2056195	0	1
GSM2056196	0	1
GSM2056197	0	1
GSM2056198	0	1
GSM2056199	1	0
GSM2056200	1	0
GSM2056201	1	0
GSM2056202	0	1
GSM2056203	0	1
GSM2056204	0	1
GSM2056205	0	1
GSM2056206	0	1
GSM2056207	0	1
GSM2056208	0	1
GSM2056209	0	1
GSM2056210	0	1
GSM2056211	0	1
GSM2056212	0	1
GSM2056213	0	1
GSM2056214	0	1
GSM2056215	0	1
GSM2056216	0	1
GSM2056217	0	1
GSM2056218	0	1
GSM2056219	0	1
GSM2056220	0	1
GSM2056221	0	1
GSM2056222	0	1
GSM2056223	0	1
GSM2056224	0	1
GSM2056225	0	1
GSM2056226	0	1
GSM2056227	0	1
GSM2056228	0	1
