geo_accession	age	batch_cov1	batch_cov2	batch_cov3	batch_cov4	batch_cov5	batch_cov6	batch_cov7	batch_cov8	batch_cov9	batch_cov10	batch_cov11	batch_cov12	batch_cov13	batch_cov14	batch_cov15	batch_cov16	site_cov1
GSM2457340	72	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457341	72	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457342	76	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457343	68	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457344	68	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457345	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GSM2457346	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
GSM2457347	60	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457348	60	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457349	76	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457350	76	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457351	59	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457352	59	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457353	58	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457354	58	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457355	72	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457356	72	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457357	63	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GSM2457358	63	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
GSM2457359	68.25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457360	62	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457361	62	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457362	56	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457363	56	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457364	69	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457365	60	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457366	60	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457367	65	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457368	62	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457369	62	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457370	56	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457371	67	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457372	67	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457373	59	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457374	59	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457375	69	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457376	69	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457377	74	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GSM2457378	41.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GSM2457379	41.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
GSM2457380	67	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457381	73	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457382	74.58333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457383	55	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GSM2457384	55	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
GSM2457385	75.08333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457386	64	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GSM2457387	65	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457388	78	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457389	67	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457390	56.16666667	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457391	70	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457392	61	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457393	61	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457394	73	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457395	73	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457396	60	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457397	60	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457398	64	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457399	64	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457400	62	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457401	62	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457402	68.08333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457403	72	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457404	72	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457405	67	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457406	66	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457407	66	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457408	72	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457409	72	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457410	66	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457411	66	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457412	52.16666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GSM2457413	52.16666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
GSM2457414	61	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457415	64	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSM2457416	64	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GSM2457417	72	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GSM2457418	72	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GSM2457419	71	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457420	74	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GSM2457421	67	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457422	67	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457423	65.91666667	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457424	57	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457425	61	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457426	61	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457427	74	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457428	71	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457429	69	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GSM2457430	74.08333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457431	69.33333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457432	70	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457433	64	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457434	64	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457435	70	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457436	70	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GSM2457437	59	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GSM2457438	59	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GSM2457439	53	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GSM2457440	68	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GSM2457441	68	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GSM2457442	71	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GSM2457443	66.58333333	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GSM2457444	68	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSM2457445	70	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
