tissue	size
human--GEO--GSE10006	87
human--GEO--GSE100430	145
human--GEO--GSE100665	161
human--GEO--GSE10072	107
human--GEO--GSE100752	136
human--GEO--GSE100833-ascending_colon	48
human--GEO--GSE100833-blood	204
human--GEO--GSE100833-descending_colon	40
human--GEO--GSE100833-rectum	78
human--GEO--GSE100833-sigmoid_colon	30
human--GEO--GSE100833-terminal_ileum	80
human--GEO--GSE100833-transverse_colon	51
human--GEO--GSE100925	97
human--GEO--GSE100927	104
human--GEO--GSE101102	87
human--GEO--GSE101792	90
human--GEO--GSE102006	252
human--GEO--GSE102073	74
human--GEO--GSE102079	257
human--GEO--GSE102088	114
human--GEO--GSE10220	96
human--GEO--GSE102249	240
human--GEO--GSE102349	112
human--GEO--GSE102459-blood	114
human--GEO--GSE102459-pbmc	50
human--GEO--GSE102484	683
human--GEO--GSE10255	161
human--GEO--GSE103091	107
human--GEO--GSE10313	104
human--GEO--GSE103147-Monocytes	423
human--GEO--GSE103147-Tcells	890
human--GEO--GSE10320	144
human--GEO--GSE10334	247
human--GEO--GSE103500	291
human--GEO--GSE103512-breast	75
human--GEO--GSE103512-colorectal	69
human--GEO--GSE103512-lung	69
human--GEO--GSE103512-prostate	67
human--GEO--GSE103580	86
human--GEO--GSE10358	304
human--GEO--GSE103844	142
human--GEO--GSE103927	112
human--GEO--GSE104377	87
human--GEO--GSE104549	92
human--GEO--GSE104640	248
human--GEO--GSE105083	103
human--GEO--GSE10545	157
human--GEO--GSE10609	92
human--GEO--GSE106977	119
human--GEO--GSE107015	209
human--GEO--GSE107397	50
human--GEO--GSE107437	410
human--GEO--GSE10760	98
human--GEO--GSE10780	185
human--GEO--GSE108215	85
human--GEO--GSE108297-pbmc	81
human--GEO--GSE108297-whole_blood	80
human--GEO--GSE108363	186
human--GEO--GSE10843	206
human--GEO--GSE108492	95
human--GEO--GSE10890	112
human--GEO--GSE109021	96
human--GEO--GSE109170	95
human--GEO--GSE110160	154
human--GEO--GSE110169	243
human--GEO--GSE110174	154
human--GEO--GSE111176	147
human--GEO--GSE11121	200
human--GEO--GSE11135	204
human--GEO--GSE111368	359
human--GEO--GSE11166	95
human--GEO--GSE11223	202
human--GEO--GSE11342	152
human--GEO--GSE11348	93
human--GEO--GSE11375	184
human--GEO--GSE1145	90
human--GEO--GSE11501	132
human--GEO--GSE1159	293
human--GEO--GSE11784	157
human--GEO--GSE11877-blood	76
human--GEO--GSE11877-bonemarrow	131
human--GEO--GSE11882-entorhinal_cortex	39
human--GEO--GSE11882-hippocampus	43
human--GEO--GSE11882-postcentral_gyrus	43
human--GEO--GSE11882-superior_frontal_gyrus	48
human--GEO--GSE11903	89
human--GEO--GSE11906	223
human--GEO--GSE11908	197
human--GEO--GSE11909	110
human--GEO--GSE11917	105
human--GEO--GSE12032	198
human--GEO--GSE12093	136
human--GEO--GSE12172	90
human--GEO--GSE12276	204
human--GEO--GSE12288	222
human--GEO--GSE12375	96
human--GEO--GSE12443	97
human--GEO--GSE12622	97
human--GEO--GSE12626	465
human--GEO--GSE12649	102
human--GEO--GSE12662	106
human--GEO--GSE12665	108
human--GEO--GSE12790	98
human--GEO--GSE12995	175
human--GEO--GSE13070-skeletalmuscle	280
human--GEO--GSE13070-subcutaneousadiposetissue	84
human--GEO--GSE13159-blood	540
human--GEO--GSE13159-bonemarrow	1556
human--GEO--GSE13204-blood	540
human--GEO--GSE13204-bonemarrow	1556
human--GEO--GSE13213	117
human--GEO--GSE13255	291
human--GEO--GSE13294	155
human--GEO--GSE13351	107
human--GEO--GSE13355	180
human--GEO--GSE13425	190
human--GEO--GSE13501	195
human--GEO--GSE13507	256
human--GEO--GSE13576	197
human--GEO--GSE13591	158
human--GEO--GSE13699	126
human--GEO--GSE13732	113
human--GEO--GSE13849	120
human--GEO--GSE13861	90
human--GEO--GSE13898	118
human--GEO--GSE13904	227
human--GEO--GSE13933	87
human--GEO--GSE14062	140
human--GEO--GSE14095	189
human--GEO--GSE14208	123
human--GEO--GSE14210	167
human--GEO--GSE1427	99
human--GEO--GSE14323	115
human--GEO--GSE14333	290
human--GEO--GSE14468	526
human--GEO--GSE14471	111
human--GEO--GSE14520	445
human--GEO--GSE1456	159
human--GEO--GSE14814	133
human--GEO--GSE14908	90
human--GEO--GSE15061	870
human--GEO--GSE15081	141
human--GEO--GSE15158	88
human--GEO--GSE15208	139
human--GEO--GSE15258	540
human--GEO--GSE15331	117
human--GEO--GSE15434	231
human--GEO--GSE15459	200
human--GEO--GSE15641	92
human--GEO--GSE15654	216
human--GEO--GSE15678	187
human--GEO--GSE15765	90
human--GEO--GSE15852	86
human--GEO--GSE16015	107
human--GEO--GSE16028	109
human--GEO--GSE16059	88
human--GEO--GSE16134	310
human--GEO--GSE16214	240
human--GEO--GSE16382	183
human--GEO--GSE16446	540
human--GEO--GSE16476	88
human--GEO--GSE16757	100
human--GEO--GSE16837	113
human--GEO--GSE16879-colon	91
human--GEO--GSE16879-ileum	42
human--GEO--GSE16987	161
human--GEO--GSE17025	102
human--GEO--GSE17048	144
human--GEO--GSE17065	194
human--GEO--GSE17080-fibroblasts	85
human--GEO--GSE17080-lcls	85
human--GEO--GSE17080-tcells	85
human--GEO--GSE17156	113
human--GEO--GSE17183	108
human--GEO--GSE17260	110
human--GEO--GSE17459	112
human--GEO--GSE17536	177
human--GEO--GSE17703	101
human--GEO--GSE17705	298
human--GEO--GSE17755	244
human--GEO--GSE17818	115
human--GEO--GSE17855	237
human--GEO--GSE17856	95
human--GEO--GSE17895	160
human--GEO--GSE17905	157
human--GEO--GSE17920	130
human--GEO--GSE17951	154
human--GEO--GSE18105	111
human--GEO--GSE18123	99
human--GEO--GSE18233	202
human--GEO--GSE18385	161
human--GEO--GSE18672	143
human--GEO--GSE18684	96
human--GEO--GSE18842	91
human--GEO--GSE18876	98
human--GEO--GSE18885	127
human--GEO--GSE1898	182
human--GEO--GSE19069	85
human--GEO--GSE19078	89
human--GEO--GSE19151	131
human--GEO--GSE19188	156
human--GEO--GSE19301	685
human--GEO--GSE19392	163
human--GEO--GSE19407	124
human--GEO--GSE19422	90
human--GEO--GSE19429	200
human--GEO--GSE19494	88
human--GEO--GSE19519	224
human--GEO--GSE19615	115
human--GEO--GSE19667	116
human--GEO--GSE19738	132
human--GEO--GSE19743	177
human--GEO--GSE19784	328
human--GEO--GSE19804	120
human--GEO--GSE1992	85
