tissue	size
mouse--GEO--GSE100961	237
mouse--GEO--GSE1014	204
mouse--GEO--GSE10280	110
mouse--GEO--GSE10415-Amygdala	61
mouse--GEO--GSE10415-BasalGanglia	62
mouse--GEO--GSE10415-Cerebellum	64
mouse--GEO--GSE10415-CingulateCortex	62
mouse--GEO--GSE10415-FrontalCortex	62
mouse--GEO--GSE10415-Hippocampus	63
mouse--GEO--GSE10415-OlfactoryBulb	63
mouse--GEO--GSE104397	80
mouse--GEO--GSE10493	144
mouse--GEO--GSE11005	95
mouse--GEO--GSE11065	295
mouse--GEO--GSE11338	302
mouse--GEO--GSE11629	88
mouse--GEO--GSE12413	86
mouse--GEO--GSE12795	285
mouse--GEO--GSE12798	292
mouse--GEO--GSE13745	308
mouse--GEO--GSE13746	308
mouse--GEO--GSE13752	302
mouse--GEO--GSE13870	429
mouse--GEO--GSE14559	216
mouse--GEO--GSE15226	120
mouse--GEO--GSE15774	108
mouse--GEO--GSE15869	81
mouse--GEO--GSE15904	126
mouse--GEO--GSE15907	304
mouse--GEO--GSE16148	124
mouse--GEO--GSE16227-brain	404
mouse--GEO--GSE16227-liver	397
mouse--GEO--GSE16227-muscle	413
mouse--GEO--GSE16780	288
mouse--GEO--GSE16886	142
mouse--GEO--GSE17522	122
mouse--GEO--GSE17609	87
mouse--GEO--GSE17721	96
mouse--GEO--GSE17933	191
mouse--GEO--GSE18344	110
mouse--GEO--GSE1863	96
mouse--GEO--GSE18858	242
mouse--GEO--GSE1897	133
mouse--GEO--GSE1920-Brain	119
mouse--GEO--GSE1920-Kidney	119
mouse--GEO--GSE1920-Liver	120
mouse--GEO--GSE19493	280
mouse--GEO--GSE19836	114
mouse--GEO--GSE20052	90
mouse--GEO--GSE2008	107
mouse--GEO--GSE2050	422
mouse--GEO--GSE20901	298
mouse--GEO--GSE20902	294
mouse--GEO--GSE20903	298
mouse--GEO--GSE20959	108
mouse--GEO--GSE22297	157
mouse--GEO--GSE23310	173
mouse--GEO--GSE23573	76
mouse--GEO--GSE24061	88
mouse--GEO--GSE24278	94
mouse--GEO--GSE24594	80
mouse--GEO--GSE25322	300
mouse--GEO--GSE25506-adipose	363
mouse--GEO--GSE25506-kidney_cortex	357
mouse--GEO--GSE25506-kidney_medulla	349
mouse--GEO--GSE25506-liver	387
