tissue	size
yeast--GEO--GSE11452	170
yeast--GEO--GSE11633	93
yeast--GEO--GSE12270	85
yeast--GEO--GSE19116	132
yeast--GEO--GSE1990	254
yeast--GEO--GSE25582	151
yeast--GEO--GSE25644	464
yeast--GEO--GSE25909	319
yeast--GEO--GSE26169	210
yeast--GEO--GSE28919	412
yeast--GEO--GSE29059	127
yeast--GEO--GSE3021	91
yeast--GEO--GSE3076	96
yeast--GEO--GSE33097	295
yeast--GEO--GSE34787	96
yeast--GEO--GSE3705	227
yeast--GEO--GSE3706	227
yeast--GEO--GSE3729	129
yeast--GEO--GSE37	80
yeast--GEO--GSE42215	200
yeast--GEO--GSE42217	200
yeast--GEO--GSE42526	1246
yeast--GEO--GSE42527	1387
yeast--GEO--GSE42536	287
yeast--GEO--GSE45115	755
yeast--GEO--GSE4654	269
yeast--GEO--GSE54196	196
yeast--GEO--GSE5499	265
yeast--GEO--GSE617	178
yeast--GEO--GSE7385	87
yeast--GEO--GSE7419	243
yeast--GEO--GSE8560	176
yeast--GEO--GSE8561	181
yeast--GEO--GSE9108	109
yeast--GEO--GSE9376	220
yeast--GEO--GSE9466	84
