tissue	size
rat--GEO--GSE13268	101
rat--GEO--GSE13269	101
rat--GEO--GSE13270	101
rat--GEO--GSE16233	89
rat--GEO--GSE1888	154
rat--GEO--GSE19290	82
rat--GEO--GSE19366	120
rat--GEO--GSE19628	199
rat--GEO--GSE19662	531
rat--GEO--GSE20980	93
rat--GEO--GSE2216	176
rat--GEO--GSE24363	418
rat--GEO--GSE27023	96
rat--GEO--GSE29488	164
rat--GEO--GSE31695	91
rat--GEO--GSE31705	97
rat--GEO--GSE31708	96
rat--GEO--GSE32869	90
rat--GEO--GSE32891	96
rat--GEO--GSE4031	105
rat--GEO--GSE40348	300
rat--GEO--GSE45892	720
rat--GEO--GSE47752	172
rat--GEO--GSE47875	105
rat--GEO--GSE49473	115
rat--GEO--GSE5100	484
rat--GEO--GSE55347	116
rat--GEO--GSE5594	144
rat--GEO--GSE5595	144
rat--GEO--GSE56666	119
rat--GEO--GSE5680	120
rat--GEO--GSE57800	862
rat--GEO--GSE57805	939
rat--GEO--GSE57811	1410
rat--GEO--GSE57815	2218
rat--GEO--GSE57816	158
rat--GEO--GSE5923	84
rat--GEO--GSE59495	90
rat--GEO--GSE63561	192
rat--GEO--GSE68110	421
rat--GEO--GSE69334	164
rat--GEO--GSE7002	98
rat--GEO--GSE70585	100
rat--GEO--GSE71306	294
rat--GEO--GSE72506	191
rat--GEO--GSE88874	160
