ensembl_gene_id	gene_id	symbol	type
ENSMUSG00000030359	11287	Pzp	protein-coding
ENSMUSG00000020804	11298	Aanat	protein-coding
ENSMUSG00000025375	11302	Aatk	protein-coding
ENSMUSG00000015243	11303	Abca1	protein-coding
ENSMUSG00000028125	11304	Abca4	protein-coding
ENSMUSG00000026944	11305	Abca2	protein-coding
ENSMUSG00000031333	11306	Abcb7	protein-coding
ENSMUSG00000024030	11307	Abcg1	protein-coding
ENSMUSG00000058835	11308	Abi1	protein-coding
ENSMUSG00000026842	11350	Abl1	protein-coding
ENSMUSG00000026596	11352	Abl2	protein-coding
ENSMUSG00000066583	11354	Scgb1b27	protein-coding
NA	11358	ac	unknown
ENSMUSG00000026003	11363	Acadl	protein-coding
ENSMUSG00000062908	11364	Acadm	protein-coding
ENSMUSG00000018574	11370	Acadvl	protein-coding
ENSMUSG00000029545	11409	Acads	protein-coding
ENSMUSG00000027822	11416	Slc33a1	protein-coding
ENSMUSG00000020704	11418	Asic2	protein-coding
ENSMUSG00000023017	11419	Asic1	protein-coding
ENSMUSG00000020681	11421	Ace	protein-coding
ENSMUSG00000023328	11423	Ache	protein-coding
ENSMUSG00000074336	11425	Apoc4	protein-coding
ENSMUSG00000028649	11426	Macf1	protein-coding
ENSMUSG00000028405	11428	Aco1	protein-coding
ENSMUSG00000022477	11429	Aco2	protein-coding
ENSMUSG00000020777	11430	Acox1	protein-coding
ENSMUSG00000044573	11431	Acp1	protein-coding
ENSMUSG00000002103	11432	Acp2	protein-coding
ENSMUSG00000001348	11433	Acp5	protein-coding
ENSMUSG00000022622	11434	Acr	protein-coding
ENSMUSG00000027107	11435	Chrna1	protein-coding
ENSMUSG00000027577	11438	Chrna4	protein-coding
ENSMUSG00000031491	11440	Chrna6	protein-coding
ENSMUSG00000030525	11441	Chrna7	protein-coding
ENSMUSG00000041189	11443	Chrnb1	protein-coding
ENSMUSG00000027950	11444	Chrnb2	protein-coding
ENSMUSG00000026251	11447	Chrnd	protein-coding
ENSMUSG00000014609	11448	Chrne	protein-coding
ENSMUSG00000026253	11449	Chrng	protein-coding
ENSMUSG00000022878	11450	Adipoq	protein-coding
ENSMUSG00000032110	11451	Acrv1	protein-coding
NA	11452	act	unknown
ENSMUSG00000031972	11459	Acta1	protein-coding
ENSMUSG00000029580	11461	Actb	protein-coding
ENSMUSG00000068614	11464	Actc1	protein-coding
ENSMUSG00000062825	11465	Actg1	protein-coding
ENSMUSG00000059430	11468	Actg2	protein-coding
ENSMUSG00000070979	11470	Actl7a	protein-coding
ENSMUSG00000070980	11471	Actl7b	protein-coding
ENSMUSG00000052374	11472	Actn2	protein-coding
ENSMUSG00000006457	11474	Actn3	protein-coding
ENSMUSG00000035783	11475	Acta2	protein-coding
ENSMUSG00000026836	11477	Acvr1	protein-coding
ENSMUSG00000000532	11479	Acvr1b	protein-coding
ENSMUSG00000052155	11480	Acvr2a	protein-coding
ENSMUSG00000061393	11481	Acvr2b	protein-coding
ENSMUSG00000000530	11482	Acvrl1	protein-coding
ENSMUSG00000020774	11484	Aspa	protein-coding
ENSMUSG00000017697	11486	Ada	protein-coding
ENSMUSG00000054693	11487	Adam10	protein-coding
ENSMUSG00000020926	11488	Adam11	protein-coding
ENSMUSG00000054555	11489	Adam12	protein-coding
ENSMUSG00000028041	11490	Adam15	protein-coding
ENSMUSG00000052593	11491	Adam17	protein-coding
ENSMUSG00000011256	11492	Adam19	protein-coding
ENSMUSG00000022039	11495	Adam2	protein-coding
ENSMUSG00000040537	11496	Adam22	protein-coding
ENSMUSG00000031553	11497	Adam3	protein-coding
ENSMUSG00000072972	11498	Adam4	protein-coding
ENSMUSG00000031554	11499	Adam5	protein-coding
ENSMUSG00000022056	11500	Adam7	protein-coding
ENSMUSG00000025473	11501	Adam8	protein-coding
