ensembl_gene_id	gene_id	symbol	type
NA	171590	homt-1	protein-coding
NA	171591	nlp-40	protein-coding
NA	171592	rcor-1	protein-coding
NA	171593	sesn-1	protein-coding
NA	171594	pgs-1	protein-coding
NA	171595	Y48G1C.5	protein-coding
NA	171597	Y48G1C.6	protein-coding
NA	171599	Y48G1C.1	protein-coding
NA	171601	rab-11.1	protein-coding
NA	171602	rpl-7	protein-coding
NA	171603	F53G12.9	protein-coding
NA	171604	F53G12.8	protein-coding
NA	171605	col-45	protein-coding
NA	171606	spe-8	protein-coding
NA	171607	mex-3	protein-coding
NA	171608	bli-3	protein-coding
NA	171609	ptr-11	protein-coding
NA	171610	F56C11.6	protein-coding
NA	171611	F56C11.3	protein-coding
NA	171613	puf-10	pseudo
NA	171615	snpc-3.2	protein-coding
NA	171616	marc-4	protein-coding
NA	171617	ztf-3	protein-coding
NA	171618	C53D5.1	protein-coding
NA	171619	C53D5.5	protein-coding
NA	171621	xpo-2	protein-coding
NA	171622	nol-14	protein-coding
NA	171623	daf-25	protein-coding
NA	171624	mbtr-1	protein-coding
NA	171625	Y48G1A.2	protein-coding
NA	171626	R119.1	pseudo
NA	171627	rnp-8	protein-coding
NA	171628	R119.3	protein-coding
NA	171630	taf-4	protein-coding
NA	171631	R119.5	protein-coding
NA	171633	otub-2	protein-coding
NA	171634	C07F11.2	protein-coding
NA	171635	tol-1	protein-coding
NA	171636	W04C9.4	protein-coding
NA	171637	cutl-13	protein-coding
NA	171638	W04C9.2	protein-coding
NA	171639	haf-4	protein-coding
NA	171640	Y65B4BL.3	protein-coding
NA	171641	Y65B4BL.4	protein-coding
NA	171642	deps-1	protein-coding
NA	171643	acs-13	protein-coding
NA	171644	Y65B4BL.1	protein-coding
NA	171645	psf-3	protein-coding
NA	171646	icd-2	protein-coding
NA	171647	wwp-1	protein-coding
NA	171648	lpr-1	protein-coding
NA	171649	grl-16	protein-coding
NA	171650	hum-7	protein-coding
NA	171652	eme-1	protein-coding
NA	171653	sago-2	protein-coding
NA	171654	vps-20	protein-coding
NA	171655	Y65B4A.2	protein-coding
NA	171656	cus-2	protein-coding
NA	171657	Y65B4A.8	protein-coding
NA	171658	Y65B4A.9	protein-coding
NA	171659	hasp-2	protein-coding
NA	171660	Y18H1A.1	protein-coding
NA	171661	Y18H1A.4	protein-coding
NA	171662	Y18H1A.2	protein-coding
NA	171663	hgap-1	protein-coding
NA	171664	rec-1	protein-coding
NA	171665	pif-1	protein-coding
NA	171666	Y18H1A.9	protein-coding
NA	171667	Y18H1A.8	protein-coding
NA	171668	T06A4.3	protein-coding
NA	171669	T06A4.1	protein-coding
NA	171670	zfh-2	protein-coding
NA	171671	ZC123.1	protein-coding
NA	171672	ZC123.4	protein-coding
NA	171674	Y95B8A.6	protein-coding
NA	171675	gpa-16	protein-coding
NA	171676	Y95B8A.2	protein-coding
NA	171677	mig-1	protein-coding
NA	171678	cutl-20	protein-coding
NA	171679	hmbx-1	protein-coding
NA	171680	madf-6	protein-coding
NA	171681	spp-17	protein-coding
NA	171682	mrpl-38	protein-coding
NA	171683	spd-1	protein-coding
NA	171684	Y34D9A.3	protein-coding
NA	171685	glrx-10	protein-coding
NA	171687	gsa-1	protein-coding
NA	171688	R06A10.4	protein-coding
NA	171689	ceh-45	protein-coding
NA	171691	aps-3	protein-coding
NA	171692	rpl-17	protein-coding
NA	171693	Y48G8AL.7	protein-coding
NA	171694	haf-6	protein-coding
NA	171696	smg-2	protein-coding
NA	171697	Y48G8AL.5	protein-coding
NA	171698	Y48G8AL.12	protein-coding
NA	171699	Y48G8AL.13	protein-coding
NA	171700	herc-1	protein-coding
NA	171702	Y48G8AR.2	protein-coding
NA	171704	K12C11.1	protein-coding
NA	171705	set-29	protein-coding
NA	171706	Y92H12BR.2	protein-coding
NA	171707	Y92H12BR.3	protein-coding
NA	171709	Y92H12BR.4	pseudo
NA	171710	mrpl-15	protein-coding
NA	171711	F37F2.2	protein-coding
NA	171712	spe-15	protein-coding
NA	171713	F47G6.3	protein-coding
NA	171714	acs-16	protein-coding
NA	171715	dyb-1	protein-coding
NA	171716	Y92H12A.5	protein-coding
NA	171719	Y92H12A.2	protein-coding
NA	171720	Y92H12A.t1	tRNA
NA	171722	src-1	protein-coding
NA	171723	Y73E7A.2	protein-coding
NA	171724	Y73E7A.6	protein-coding
NA	171725	Y73E7A.1	protein-coding
NA	171726	Y73E7A.8	protein-coding
NA	171727	mab-20	protein-coding
NA	171728	pqn-88	protein-coding
NA	171729	Y71G12B.18	protein-coding
NA	171730	Y71G12B.17	protein-coding
NA	171731	Y71G12B.23	protein-coding
NA	171734	ubc-3	protein-coding
NA	171735	atg-5	protein-coding
NA	171736	tln-1	protein-coding
NA	171737	mppa-1	protein-coding
NA	171738	Y71G12B.10	protein-coding
NA	171739	lin-65	protein-coding
NA	171740	Y71G12B.25	protein-coding
NA	171742	Y71G12B.26	protein-coding
NA	171743	ddx-27	protein-coding
NA	171744	Y71G12B.6	protein-coding
NA	171745	Y71G12B.27	protein-coding
NA	171746	pghm-1	protein-coding
NA	171747	chaf-2	protein-coding
NA	171748	Y71G12B.28	pseudo
NA	171749	C53H9.2	protein-coding
NA	171750	rpl-27	protein-coding
NA	171751	egl-30	protein-coding
NA	171752	emr-1	protein-coding
NA	171753	nlp-12	protein-coding
NA	171755	tag-96	protein-coding
NA	171756	scm-1	protein-coding
NA	171758	tub-2	protein-coding
NA	171759	Y71G12A.4	protein-coding
NA	171761	Y51F10.7	protein-coding
NA	171762	Y37E3.1	protein-coding
NA	171763	rpb-10	protein-coding
NA	171764	moag-4	protein-coding
NA	171765	arl-13	protein-coding
NA	171766	rla-1	protein-coding
NA	171767	Y37E3.8	protein-coding
NA	171768	phb-1	protein-coding
NA	171769	eif-2alpha	protein-coding
NA	171770	pcyt-2.1	protein-coding
NA	171771	iglr-3	protein-coding
NA	171773	fpn-1.1	protein-coding
NA	171774	npp-13	protein-coding
NA	171775	Y37E3.17	protein-coding
NA	171776	afd-1	protein-coding
NA	171777	W03F11.5	protein-coding
