ensembl_gene_id	gene_id	symbol	type
NA	2828223	NEWENTRY	other
NA	24573110	atp6	protein-coding
NA	24573111	ACI60_gt03	tRNA
NA	24573112	ACI60_gt04	tRNA
NA	24573113	ACI60_gr01	rRNA
NA	24573114	ACI60_gt21	tRNA
NA	24573115	ACI60_gt24	tRNA
NA	24573116	atp9	protein-coding
NA	24573117	atp8	protein-coding
NA	24573118	ACI60_gr02	rRNA
NA	24573119	ACI60_gt02	tRNA
NA	24573120	cox1	protein-coding
NA	24573121	cytb	protein-coding
NA	24573122	rps3	protein-coding
NA	24573123	ACI60_gt05	tRNA
NA	24573124	ACI60_gt06	tRNA
NA	24573125	ACI60_gt07	tRNA
NA	24573126	ACI60_gt08	tRNA
NA	24573127	ACI60_gt09	tRNA
NA	24573128	ACI60_gt10	tRNA
NA	24573129	ACI60_gt11	tRNA
NA	24573130	ACI60_gt12	tRNA
NA	24573131	ACI60_gt13	tRNA
NA	24573132	ACI60_gt14	tRNA
NA	24573133	ACI60_gt15	tRNA
NA	24573134	ACI60_gt16	tRNA
NA	24573135	ACI60_gt17	tRNA
NA	24573136	ACI60_gt18	tRNA
NA	24573137	ACI60_gt19	tRNA
NA	24573138	ACI60_gt20	tRNA
NA	24573139	cox2	protein-coding
NA	24573140	ACI60_gt22	tRNA
NA	24573141	ACI60_gt23	tRNA
NA	24573142	cox3	protein-coding
NA	24573143	ACI60_gs01	ncRNA
NA	24573144	ACI60_gt01	tRNA
NA	850287	YCL075W	pseudo
NA	850288	YCL074W	pseudo
NA	850289	GEX1	protein-coding
NA	850290	VBA3	protein-coding
NA	850291	YCL068C	protein-coding
NA	850292	HMLALPHA2	protein-coding
NA	850293	HMLALPHA1	protein-coding
NA	850295	CHA1	protein-coding
NA	850296	VAC17	protein-coding
NA	850297	MRC1	protein-coding
NA	850298	KRR1	protein-coding
NA	850299	FYV5	protein-coding
NA	850300	MIC10	protein-coding
NA	850301	PRD1	protein-coding
NA	850302	PEX34	protein-coding
NA	850303	KAR4	protein-coding
NA	850304	SPB1	protein-coding
NA	850305	PBN1	protein-coding
NA	850306	LRE1	protein-coding
NA	850307	APA1	protein-coding
NA	850308	YCL049C	protein-coding
NA	850309	SPS22	protein-coding
NA	850310	POF1	protein-coding
NA	850312	EMC1	protein-coding
NA	850313	MGR1	protein-coding
NA	850314	PDI1	protein-coding
NA	850315	YCL042W	protein-coding
NA	850317	GLK1	protein-coding
NA	850318	GID7	protein-coding
NA	850319	ATG22	protein-coding
NA	850320	SRO9	protein-coding
NA	850321	GFD2	protein-coding
NA	850322	GRX1	protein-coding
NA	850323	LSB5	protein-coding
NA	850324	MXR2	protein-coding
NA	850325	STE50	protein-coding
NA	850326	RRP7	protein-coding
NA	850327	HIS4	protein-coding
NA	850328	BIK1	protein-coding
NA	850329	RNQ1	protein-coding
NA	850330	FUS1	protein-coding
NA	850331	HBN1	protein-coding
NA	850332	FRM2	protein-coding
NA	850333	AGP1	protein-coding
NA	850334	KCC4	protein-coding
NA	850337	tE(UUC)C	tRNA
NA	850338	YCL021W-A	protein-coding
NA	850339	YCL020W	protein-coding
NA	850340	YCL019W	protein-coding
NA	850341	SUP53	tRNA
NA	850342	LEU2	protein-coding
NA	850343	NFS1	protein-coding
NA	850344	DCC1	protein-coding
NA	850345	BUD3	protein-coding
NA	850346	GBP2	protein-coding
NA	850347	SGF29	protein-coding
NA	850348	ILV6	protein-coding
NA	850349	STP22	protein-coding
NA	850351	LDB16	protein-coding
NA	850352	PGS1	protein-coding
NA	850353	YCL002C	protein-coding
NA	850354	RER1	protein-coding
NA	850355	YCL001W-A	protein-coding
NA	850356	YCL001W-B	protein-coding
NA	850357	YCR001W	protein-coding
NA	850358	CDC10	protein-coding
NA	850359	MRPL32	protein-coding
NA	850360	YCP4	protein-coding
NA	850361	CIT2	protein-coding
NA	850362	YCR006C	protein-coding
NA	850363	SUF2	tRNA
NA	850364	YCR007C	protein-coding
NA	850365	tN(GUU)C	tRNA
NA	850366	SAT4	protein-coding
NA	850367	RVS161	protein-coding
NA	850368	ADY2	protein-coding
NA	850369	ADP1	protein-coding
NA	850370	PGK1	protein-coding
NA	850372	POL4	protein-coding
NA	850373	CTO1	protein-coding
