gene_id	symbol	chr	start.pos	end.pos	pos
4535	MT-ND1	M	3307	4262	3088.273139
4536	MT-ND2	M	4470	5511	3088.274302
4512	MT-CO1	M	5904	7445	3088.275736
4513	MT-CO2	M	7586	8269	3088.277418
4509	MT-ATP8	M	8366	8572	3088.278198
4508	MT-ATP6	M	8527	9207	3088.278359
4514	MT-CO3	M	9207	9990	3088.279039
4537	MT-ND3	M	10059	10404	3088.279891
4539	MT-ND4L	M	10470	10766	3088.280302
4538	MT-ND4	M	10760	12137	3088.280592
4540	MT-ND5	M	12337	14148	3088.282169
4541	MT-ND6	M	14149	14673	3088.283981
4519	MT-CYB	M	14747	15887	3088.284579
54675	CRLS1	20	6006090	6040053	2719.034994
22929	SEPHS1	10	13317424	13348298	1688.201053
201232	SLC16A13	17	7036075	7040121	2497.816637
27284	SULT1B1	4	69721162	69787961	759.166672
22800	RRAS2	11	14277926	14364506	1822.958977
56920	SEMA3G	3	52433053	52445085	543.583004
10991	SLC38A3	3	50205246	50221486	541.355197
5967	REG1A	2	79120362	79123419	328.076784
881	CCIN	9	36169394	36171334	1572.658306
4607	MYBPC3	11	47331397	47352702	1856.012448
390748	PABPN1L	16	88863333	88866660	2489.30555
53833	IL20RB	3	136946230	137011085	628.096181
348262	MCRIP1	17	81822361	81833302	2572.602923
1969	EPHA2	1	16124337	16156087	16.124337
403341	ZBTB34	9	126860665	126885878	1663.349577
11060	WWP2	16	69762306	69941741	2470.204523
9464	HAND2	4	173524969	173530229	862.970479
151194	METTL21A	2	207580631	207625928	456.537053
441250	TYW1B	7	72558744	72828198	1304.563047
11232	POLG2	17	64477785	64497036	2555.258347
727905	SPATA31A5	9	60914374	60920650	1597.403286
1519	CTSO	4	155924118	155953917	845.369628
84890	ADO	10	62804857	62808483	1737.688486
729993	SHISA9	16	12901620	13240413	2413.343837
284948	SH2D6	2	85418721	85437029	334.375143
7477	WNT7B	22	45920362	45977129	2870.103416
3207	HOXA11	7	27181510	27185223	1259.185813
253650	ANKRD18A	9	38571358	38620660	1575.06027
100507607	NPIPB9	16	28751787	28772807	2429.194004
619373	MBOAT4	8	30131824	30144686	1421.4821
4288	MKI67	10	128096659	128126385	1802.980288
5606	MAP2K3	17	21284672	21315240	2512.065234
3162	HMOX1	22	35380361	35394214	2859.563415
55679	LIMS2	2	127638381	127681786	376.594803
25966	C2CD2	21	41885112	41953890	2819.358183
8228	PNPLA4	X	7898247	7927739	2882.899769
10671	DCTN6	8	30156297	30183640	1421.506573
162515	SLC16A11	17	7041630	7043923	2497.822192
10171	RCL1	9	4792869	4885917	1541.281781
4739	NEDD9	6	11183298	11382348	1072.381622
114571	SLC22A9	11	63369789	63410294	1872.05084
2950	GSTP1	11	67583595	67586656	1876.264646
10347	ABCA7	19	1040101	1065572	2655.451389
90527	DUOXA1	15	45117367	45129938	2343.568395
54738	FEV	2	218981087	218985657	467.937509
25801	GCA	2	162318840	162371595	411.275262
55719	SLF2	10	100912569	100965136	1775.796198
655	BMP7	20	57168748	57266629	2770.197652
5955	RCN2	15	76931619	76954392	2375.382647
91057	CCDC34	11	27330827	27363868	1836.011878
4690	NCK1	3	136862208	136949823	628.012159
79983	POF1B	X	85277396	85379743	2960.278918
1787	TRDMT1	10	17142254	17202054	1692.025883
10369	CACNG2	22	36563921	36703558	2860.746975
51480	VCX2	X	8169944	8171267	2883.171466
23105	FSTL4	5	133196455	133612564	1012.85652
121793	TEX29	13	111316184	111344249	2188.359166
152687	ZNF595	4	53285	88211	689.498795
22801	ITGA11	15	68296533	68432162	2366.747561
79730	NSUN7	4	40749897	40809985	730.195407
29923	HILPDA	7	128455849	128458418	1360.460152
