gene_id	symbol	locus_id	chr	start.pos	end.pos	pos
856034	YPL071C	YPL071C	XVI	420048	420518	11.543308
850676	YLL050C	YLL050C	XII	39804	40414	7.284832
855208	YMR172W	YMR172W	XIII	605981	608140	8.929186
854357	YOR185C	YOR185C	XV	681444	682106	10.713413
850627	YLL032C	YLL032C	XII	74270	76747	7.319298
852526	YBR225W	YBR225W	II	670627	673329	0.900845
856670	YEL041W	YEL041W	V	75944	77431	2.967899
854412	YOR237W	YOR237W	XV	781994	783298	10.813963
855042	YMR027W	YMR027W	XIII	325877	327289	8.649082
1466446	YBR182C-A	YBR182C-A	II	595361	595555	0.825579
853758	YKL103C	YKL103C	XI	246138	247682	6.82435
854109	YOL048C	YOL048C	XV	240204	241310	10.272173
854832	YIR015W	YIR015W	IX	381948	382382	5.774521
855751	YNR017W	YNR017W	XIV	662913	663581	9.910549
852225	YBL055C	YBL055C	II	115573	116829	0.345791
854021	YOL144W	YOL144W	XV	53098	54552	10.085067
851351	YDL246C	YDL246C	IV	8683	9756	1.368705
851354	YDL243C	YDL243C	IV	17577	18566	1.377599
851995	YDR387C	YDR387C	IV	1248154	1249821	2.608176
855335	YMR290C	YMR290C	XIII	850074	851591	9.173279
850397	YCR031C	YCR031C	III	177500	178220	1.220902
852596	YBR293W	YBR293W	II	787006	788430	1.017224
853280	YJL160C	YJL160C	X	117962	118825	5.950423
855170	YMR139W	YMR139W	XIII	546125	547237	8.86933
852048	YDR438W	YDR438W	IV	1338274	1339386	2.698296
852135	YDR523C	YDR523C	IV	1485566	1487038	2.845588
852155	YDR542W	YDR542W	IV	1523249	1523611	2.883271
851187	YLR466W	YLR466W	XII	1067087	1071235	8.312115
855893	YPL208W	YPL208W	XVI	157842	159593	11.281102
850743	YLR054C	YLR054C	XII	248717	250978	7.493745
856729	YER011W	YER011W	V	175248	176012	3.067203
851157	YLR437C	YLR437C	XII	1011622	1012023	8.25665
855806	YNR069C	YNR069C	XIV	761123	762592	10.008759
852102	YDR492W	YDR492W	IV	1434924	1435874	2.794946
855229	YMR191W	YMR191W	XIII	645656	646777	8.968861
854082	YOL072W	YOL072W	XV	194970	196337	10.226939
854281	YOR114W	YOR114W	XV	537570	538454	10.569539
3628034	YIL156W-B	YIL156W-B	IX	47690	47973	5.440263
856494	YHR094C	YHR094C	VIII	290913	292625	5.120843
856354	YHL031C	YHL031C	VIII	38815	39486	4.868745
854567	YOR385W	YOR385W	XV	1065043	1065915	11.097012
852793	YGL087C	YGL087C	VII	346406	346904	4.085396
855287	YMR244C-A	YMR244C-A	XIII	758517	758831	9.081722
855410	YNL306W	YNL306W	XIV	58155	58808	9.305791
854389	YOR214C	YOR214C	XV	745593	746303	10.777562
851194	YAL037W	YAL037W	I	74020	74823	0.07402
850670	YLL056C	YLL056C	XII	27409	28305	7.272437
854030	YOL119C	YOL119C	XV	94856	96361	10.126825
853226	YJL204C	YJL204C	X	50629	53151	5.88309
851217	YAL016W	YAL016W	I	124879	126786	0.124879
854660	YIL146C	YIL146C	IX	74184	75773	5.466757
850346	YCL011C	YCL011C	III	102075	103358	1.145477
850819	YLR128W	YLR128W	XII	398530	399433	7.643558
851581	YDR018C	YDR018C	IV	482670	483860	1.842692
854184	YOR019W	YOR019W	XV	368127	370319	10.400096
855428	YNL288W	YNL288W	XIV	90303	91424	9.337939
850317	YCL040W	YCL040W	III	50838	52340	1.09424
855530	YNL191W	YNL191W	XIV	280432	281505	9.528068
