gene_id	symbol	chr	start.pos	end.pos	pos
17716	ND1	M	2751	3707	2725.524121
17717	ND2	M	3914	4951	2725.525284
17708	COX1	M	5328	6872	2725.526698
17709	COX2	M	7013	7696	2725.528383
17706	ATP8	M	7766	7969	2725.529136
17705	ATP6	M	7927	8607	2725.529297
17710	COX3	M	8607	9390	2725.529977
17718	ND3	M	9459	9806	2725.530829
17720	ND4L	M	9877	10173	2725.531247
17719	ND4	M	10167	11544	2725.531537
17721	ND5	M	11742	13565	2725.533112
17722	ND6	M	13552	14070	2725.534922
17711	CYTB	M	14145	15288	2725.535515
620758	Vmn1r160	7	22871224	22872147	1018.575445
16821	Lcn4	2	26667674	26671282	222.139645
232972	BC049730	7	24709242	24714535	1020.413463
76229	Vmn2r29	7	7231327	7247328	1002.935548
269016	Sh3rf2	18	42053667	42158960	2352.664835
227290	Aamp	1	74279840	74284738	74.27984
381644	Cep135	5	76588698	76646466	770.721689
66294	Fam3a	X	74384719	74393272	2537.130092
17309	Mgat3	15	80173721	80215519	2093.546165
14860	Gsta4	9	78182774	78209349	1348.729667
259089	Olfr571	7	102905090	102917536	1098.609311
54709	Eif3i	4	129591960	129600648	667.216835
109222	Rarres1	3	67478972	67515523	445.064167
228545	Vps18	2	119288740	119298453	314.760711
13170	Dbp	7	45705088	45710203	1041.409309
192185	Nadk	4	155562378	155591001	693.187253
69551	2310022B05Rik	8	124635756	124663369	1265.781436
75604	Tm4sf5	11	70505244	70511178	1596.34224
234730	Fuk	8	110882456	110902488	1252.028136
20042	Rps12	10	23785183	23787275	1418.927186
100271704	Gm17660	5	104070064	104077608	798.203055
433698	Fam205a1	4	42848071	42853888	580.472946
56809	Gmeb1	4	132221025	132261602	669.8459
18991	Pou3f1	4	124656807	124660655	662.281682
100861691	LOC100861691	Y	35105684	35131833	2668.882356
108168545	LOC100861691	Y	35105684	35131833	2668.882356
171239	Vmn1r76	7	11923523	11938213	1007.627744
107373	Fam111a	19	12545740	12589768	2413.859547
20602	Ncor2	5	125017153	125179219	819.150144
56365	Clcnkb	4	141404353	141416014	679.029228
223843	Dbx2	15	95623563	95655960	2108.996007
330230	Zfp853	5	143287038	143293623	837.420029
50774	Krtap5-1	7	142296334	142297118	1138.000555
18636	Cfp	X	20925454	20931555	2483.670827
16145	Igtp	11	58199556	58207591	1584.036552
12622	Cer1	4	82881751	82885148	620.506626
18829	Ccl21a	4	42772860	42773993	580.397735
258236	Olfr391-ps	11	73797861	73803052	1599.634857
65247	Asb1	1	91540544	91559589	91.540544
208213	Tmem132c	5	127241808	127565793	821.374799
67981	Hormad1	3	95559677	95587671	473.144872
258323	Olfr943	9	39166304	39192350	1309.713197
100041515	Gm3383	14	5607620	5807982	1894.07782
100861966	Btbd35f23	X	3076875	3078817	2465.822248
258893	Olfr1225	2	89168380	89174669	284.640351
56632	Sphk2	7	45709467	45718002	1041.413688
16176	Il1b	2	129364570	129371139	324.836541
109778	Blvra	2	127070665	127097084	322.542636
50775	Krtap5-4	7	142303549	142304594	1138.00777
66660	Sltm	9	70542754	70592234	1341.089647
67306	Zc2hc1a	3	7503483	7553836	385.088678
231103	Gckr	5	31297443	31327314	725.430434
109129	Mmadhc	2	50279881	50296801	245.751852
54396	Irgm2	11	58199618	58222782	1584.036614
66755	4933415F23Rik	1	23100473	23102253	23.100473
18378	Omp	7	98143359	98145502	1093.84758
24047	Ccl19	4	42754525	42756577	580.3794
233271	Luzp2	7	54835498	55268885	1050.539719
18518	Igbp1	X	100494291	100516125	2563.239664
12568	Cdk5	5	24418241	24423530	718.551232
75697	C2cd4b	9	67759437	67760930	1338.30633
13850	Ephx2	14	66084374	66124500	1954.554574
12337	Capn5	7	98121559	98178274	1093.82578
494124	Calm5	13	3854173	3854761	1771.902734
71640	Zfp949	9	88548020	88571061	1359.094913
632708	Dmrtc1b	X	102707865	102715209	2565.453238
258611	Olfr297	7	86519968	86528497	1082.224189
18570	Pdcd6	13	74303509	74317580	1842.35207
382105	Fbxw15	9	109552602	109568262	1380.099495
258348	Olfr1133	2	87645180	87647374	283.117151
108755	Lyrm2	4	32800253	32801559	570.425128
319583	Lig4	8	9969049	9977686	1151.114729
67655	Ctdp1	18	80407959	80469695	2391.019127
98758	Hnrnpf	6	117900324	117925622	963.867999
23918	Impdh2	9	108560286	108565584	1379.107179
20669	Sox14	9	99874106	99876170	1370.420999
244911	C2cd4a	9	67830489	67832330	1338.377382
83431	Ndel1	11	68821434	68871858	1594.65843
230861	Eif4g3	4	137993022	138208508	675.617897
100041598	Gm3424	14	5821934	5830329	1894.292134
15201	Hells	19	38930915	38971051	2440.244722
19899	Rpl18	7	45715457	45720836	1041.419678
245128	AU018091	7	3154658	3169203	998.858879
21846	Tie1	4	118471191	118490061	656.096066
234779	Plcg2	8	117498291	117635142	1258.643971
329828	AI464131	4	41495604	41503076	579.120479
237636	Npc1l1	11	6211013	6230143	1532.048009
94192	C1galt1	6	7844842	7875687	853.812517
100043079	Gm4214	7	22983714	22984673	1018.687935
258022	Olfr1318	2	112154198	112159157	307.626169
240756	Klhl12	1	134455531	134491018	134.455531
76971	Sult2a8	7	14410686	14446769	1010.114907
329872	Frem1	4	82897920	83052339	620.522795
100043083	Gm4216	7	23019006	23019923	1018.723227
210155	Gm4763	7	24715023	24726908	1020.419244
218100	Zfp322a	13	23353103	23369208	1791.401664
12238	Commd3	2	18672384	18676231	214.144355
667586	Vmn1r163	7	23055540	23056463	1018.759761
56349	Net1	13	3882018	3918220	1771.930579
80908	Abo	2	26842503	26864979	222.314474
72391	Cdkn3	14	46760541	46771669	1935.230741
116810	Foxn4	5	114254164	114273807	808.387155
23980	Pebp1	5	117282654	117287625	811.415645
245638	Tbc1d8b	X	139684996	139753405	2602.430369
18163	Ctnnd2	15	30172593	31029341	2043.545037
71927	Itfg1	8	85717578	85840921	1226.863258
667599	Gm8720	7	23066533	23067456	1018.770754
240028	Lnpep	17	17521410	17625050	2233.145307
269233	Fam171a1	2	3114224	3227806	198.586195
50874	Tmod4	3	95124476	95129209	472.709671
19258	Ptpn4	1	119652467	119837613	119.652467
259032	Olfr1134	2	87655673	87658460	283.127644
327956	Vmo1	11	70513516	70514616	1596.350512
