gene_id	symbol	chr	start.pos	end.pos	pos
32017	CG2186	X	10857655	10866246	10.857655
34455	w-cup	2L	10575860	10577792	34.118131
35362	Mtp	2L	20919094	20922876	44.461365
40717	Rpn5	3R	5789493	5791569	106.242639
34999	Prosbeta4	2L	16731180	16732133	40.273451
317952	CG32280	3L	3165181	3169080	75.5081
33476	G6P	2L	2814336	2815760	26.356607
39944	CG32176	3L	17433868	17437971	89.776787
33024	CG17068	X	20248309	20251093	20.248309
36401	wuc	2R	12700081	12700851	59.756064
41395	CG14711	3R	11623339	11624948	112.076485
43841	unc-13	4	867824	912331	133.400301
32340	rdgB	X	13762752	13779488	13.762752
42558	CG42335	3R	21758764	21769301	122.21191
19893555	mt:ND6	M	9971	10495	137.557931
43687	bnk	3R	31193362	31194389	131.646508
32936	ND-18	X	19492421	19493337	19.492421
41104	VhaM8.9	3R	9260638	9262590	109.713784
36068	CG18011	2R	10142338	10146206	57.198321
8674092	CG42507	3L	14747929	14757962	87.090848
36954	CG6550	2R	17425670	17427511	64.481653
3355102	Scp1	2R	2932595	2968052	49.988578
318605	CG31141	3R	23923300	23924319	124.376446
19835256	CG46304	2L	18946305	18947082	42.488576
36912	Ehbp1	2R	17007674	17015894	64.063657
2768730	CG12158	2R	9362574	9362906	56.418557
39549	CG17359	3L	13997900	13999251	86.340819
37066	Sema5c	3L	12067511	12081830	84.41043
39844	Smn	3L	16580398	16581547	88.923317
37011	rdgBbeta	2R	17695776	17698362	64.751759
42579	CG17819	3R	21884728	21885550	122.337874
42282	NP15.6	3R	19027368	19028015	119.480514
37308	CG13870	2R	20343845	20346018	67.399828
33112	peng	X	21346503	21349843	21.346503
34379	Hand	2L	10292679	10295385	33.83495
59218	CG18870	2R	21613845	21616907	68.669828
38218	drpr	3L	1715595	1731107	74.058514
46006	east	X	2010860	2024647	2.01086
37336	maf-S	2R	20640976	20641668	67.696959
37005	eIF3c	2R	17665678	17669275	64.721661
40826	pb	3R	6707800	6742063	107.160946
38523	Ctl1	3L	4277962	4281585	76.620881
31715	CG15330	X	7956064	7956702	7.956064
42526	CG5919	3R	21270126	21271408	121.723272
33715	mRpL28	2L	4973976	4975316	28.516247
42220	CG7685	3R	18404940	18406002	118.858086
31010	l(1)1Bi	X	629773	633633	0.629773
36808	fidipidine	2R	16262284	16264619	63.318267
32950	CG14204	X	19583617	19587057	19.583617
40950	CG2747	3R	8016210	8030790	108.469356
44936	Eip93F	3R	21949114	22014539	122.40226
36992	Rab4	2R	17573462	17574979	64.629445
42804	RanBP3	3R	23750937	23752834	124.204083
42475	Ktl	3R	20894452	20897320	121.347598
39018	orb2	3L	8937100	8954463	81.280019
35314	CG31688	2L	20426199	20447905	43.96847
34716	Pect	2L	13203762	13210828	36.746033
44382	Sr-CIII	2L	4120343	4121627	27.662614
246670	Obp57a	2R	20505150	20505758	67.561133
33176	CG42399	2L	144231	153300	23.686502
246443	CG30082	2R	15685004	15686082	62.740987
36319	CG8858	2R	12192374	12198854	59.248357
32964	CG14212	X	19625705	19626601	19.625705
