gene_id	symbol	chr	start.pos	end.pos	pos
26193	Mt-nd1	M	2740	3694	2782.015342
26194	Mt-nd2	M	3904	4942	2782.016506
26195	Mt-co1	M	5323	6867	2782.017925
26198	Mt-co2	M	7006	7689	2782.019608
26196	Mt-atp8	M	7758	7961	2782.02036
26197	Mt-atp6	M	7919	8599	2782.020521
26204	Mt-co3	M	8599	9382	2782.021201
26199	Mt-nd3	M	9451	9798	2782.022053
26200	Mt-nd4l	M	9870	10166	2782.022472
26201	Mt-nd4	M	10160	11537	2782.022762
26202	Mt-nd5	M	11736	13565	2782.024338
26203	Mt-nd6	M	13543	14061	2782.026145
26192	Mt-cyb	M	14136	15278	2782.026738
296587	Dnlz	3	3796480	3798239	552.994679
363872	Zscan25	12	11774788	11785493	1848.820469
306322	Entr1	3	3827498	3834210	553.025697
294286	Kifc1	20	5509059	5526175	2568.035226
501157	Rpe	9	73687743	73711571	1585.547813
360638	Adam11	10	90731148	90749217	1724.686515
688802	Mcidas	2	44863252	44870536	327.626326
316153	Sult1c2a	9	4152589	4168221	1516.012659
691984	Gpc6	15	102164751	103170847	2221.454606
100910057	LOC100910057	9	4072823	4114974	1515.932893
363268	Fbxo36	9	92435896	92500765	1604.295966
367201	RGD1562392	9	4081457	4280794	1515.941527
114638	Hps1	1	261989178	262015153	261.989178
266606	Tor1a	3	9800322	9807328	558.998521
311855	RGD1305178	3	9813912	9822186	559.012111
294207	Ppp1r11	20	2094931	2098433	2564.621098
282844	Rffl	10	70157621	70220582	1704.112988
171072	LOC100910526	9	4654294	4685383	1516.514364
171387	Rnf39	20	2098375	2103864	2564.624542
315907	Nrk	X	109940350	110033085	2728.672473
290875	Cdc16	16	81493355	81516493	2312.029449
306226	Dux4	16	3754968	3765917	2234.291062
303369	Lig3	10	70134729	70158055	1704.090096
315139	Tab1	7	121350965	121382088	1354.174081
100910526	Sult1c2	9	4807717	4834335	1516.667787
114515	Lancl1	9	74014656	74048244	1585.874726
294287	Phf1	20	5526961	5531941	2568.053128
680270	Ccdc83	1	154478782	154507039	154.478782
304280	Tmem130	12	11814071	11840100	1848.859752
361208	Mxd3	17	9830332	9839452	2331.035216
252915	Mxd3	17	9830332	9839452	2331.035216
60590	Grm8	4	54474136	55407922	781.372327
